Release number,85
Release date,2013-02-11
Classes,6
Subclasses,69
SubSubclasses,287
Synonyms,19432
Enzymes by status:
APPROVED (active),5022
APPROVED (inactive),836
PRELIMINARY (active),73
PRELIMINARY (inactive),111
PROPOSED (active),1
SUGGESTED (active),79
Xrefs - total:
DIAGRAM,1690
GO,4002
PROSITE,1442
Swiss-Prot,220337
Xrefs - unique:
DIAGRAM,544
GO,3975
PROSITE,466
Swiss-Prot,209369
Links - total:
CAS,3375
ERGO,96
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,710
Links - unique:
CAS,3207
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,74
WIT,655
